neo_id,name,is_potentially_hazardous,close_approach_date,relative_velocity_km_s,miss_distance_km,orbiting_body,estimated_diameter_min_km,estimated_diameter_max_km
54232321,(2022 AB),False,2024-Jan-08 00:38,20.0717047393,73783136.665110025,Earth,0.0506471459,0.1132504611
54239839,(2022 BG1),False,2024-Jan-08 07:56,13.7148876409,56116108.472152086,Earth,0.0197949759,0.0442629117
54293876,(2020 AQ24),False,2024-Jan-08 22:17,18.7929519283,38631012.606810622,Earth,0.0268259417,0.0599846292
54336963,(2022 YD6),False,2024-Jan-08 23:01,15.9068705545,33735239.56230263,Earth,0.038775283,0.0867041687
54399994,(2023 UO9),False,2024-Jan-08 19:42,4.7821343801,10059756.983543501,Earth,0.0917392059,0.2051351006
54407114,(2023 WS1),False,2024-Jan-08 22:22,4.028213085,31370938.815380102,Earth,0.1102947845,0.2466266358
54419604,(2024 AD2),False,2024-Jan-08 10:58,7.2696639354,4831184.612929102,Earth,0.0137579896,0.0307638
54419807,(2024 AC3),False,2024-Jan-08 01:13,21.5014106722,1562543.065125211,Earth,0.0236894499,0.0529712204
54420157,(2024 AX3),False,2024-Jan-08 04:48,5.5102201908,1844629.177055015,Earth,0.007772397,0.0173796081
54421395,(2024 BM1),False,2024-Jan-08 00:16,7.3092559912,5458303.012870314,Earth,0.0164647438,0.0368162863
54448604,(2024 MM),False,2024-Jan-08 11:01,7.7347596114,29701855.647831049,Earth,0.0334622374,0.0748238376
3605793,(2012 MP),False,2024-Jan-09 20:30,9.2140373525,71411544.787279863,Earth,0.1623883902,0.3631114793
3633148,(2013 FC11),False,2024-Jan-09 13:01,13.8060458064,73404426.261333376,Earth,0.2200670271,0.4920848322
3781028,(2017 QP17),False,2024-Jan-09 07:49,20.4028017464,58688124.051435387,Earth,0.3195618867,0.7145621017
54336914,(2022 YS5),False,2024-Jan-09 07:08,5.8999695641,8646331.115502193,Earth,0.0286124454,0.0639793729
54416849,(2023 XN13),False,2024-Jan-09 06:22,1.4377221889,6032641.279664068,Earth,0.0062023315,0.0138688349
54419487,(2024 AS1),False,2024-Jan-09 18:12,16.7850967942,579850.46959007,Earth,0.0091317703,0.020419259
54419814,(2024 AK3),False,2024-Jan-09 01:33,10.7997433611,21319889.654573135,Earth,0.0445199816,0.0995497053
54421379,(2024 BU),False,2024-Jan-09 00:21,7.0303533928,2739335.81526923,Earth,0.0058150704,0.0130028927
54423142,(2024 BE4),False,2024-Jan-09 03:14,7.6123806597,7101308.474198198,Earth,0.0140784543,0.0314803809
2678263,678263 (2017 QP17),False,2024-Jan-09 07:49,20.4027975978,58688123.079049232,Earth,0.3225187565,0.7211738634
54471039,(2024 RX13),False,2024-Jan-09 05:16,4.7445183503,31731437.907492514,Earth,0.0016313794,0.0036478753
3092124,(1994 GL),False,2024-Jan-11 14:17,7.9110407383,68392432.770871925,Earth,0.0211132445,0.0472106499
3363430,(2006 XY2),False,2024-Jan-11 18:48,9.2537526551,50573342.875874447,Earth,0.0840533402,0.1879489824
3485632,(2010 AG40),False,2024-Jan-11 02:28,26.5453030055,46379981.288072277,Earth,0.1053307015,0.2355266087
3596491,(2012 BU61),True,2024-Jan-11 06:52,29.5855017581,31235090.515531376,Earth,0.1344481952,0.3006353038
3608667,(2012 RT16),False,2024-Jan-11 07:25,14.9467175304,34186335.348883847,Earth,0.0110803882,0.0247765013
3626732,(2013 CJ89),False,2024-Jan-11 18:05,32.0013406108,68164449.371898462,Earth,0.3520099801,0.7871182442
3722209,(2015 MO66),False,2024-Jan-11 01:31,21.5899798148,48943737.823269257,Earth,0.2538370294,0.5675968529
3725756,(2015 OX78),False,2024-Jan-11 00:12,20.8344275067,47519518.304349792,Earth,0.2861244538,0.6397937287
3763284,(2016 VO1),False,2024-Jan-11 17:43,10.3861878822,53415312.733342671,Earth,0.0643509521,0.1438931032
3764806,(2016 WU7),False,2024-Jan-11 14:22,11.9637775433,53590787.878337614,Earth,0.0242412481,0.0542050786
3795086,(2017 YQ5),False,2024-Jan-11 11:46,11.8228203618,28573611.44564452,Earth,0.0305179233,0.0682401509
3799802,(2018 EC1),False,2024-Jan-11 05:53,7.5039087853,63871706.358625986,Earth,0.0152951935,0.0342010925
3836297,(2018 WJ1),False,2024-Jan-11 00:46,1.6081503226,66234085.700425808,Earth,0.2954982931,0.6607542706
3973542,(2020 AC1),False,2024-Jan-11 11:29,5.3164554643,7388566.767925595,Earth,0.0055789822,0.0124749835
54051109,(2020 PF5),False,2024-Jan-11 19:56,10.036359312,24189379.476367411,Earth,0.0614546821,0.1374168468
54051175,(2020 QY),False,2024-Jan-11 17:49,23.2216542638,74196711.615439311,Earth,0.0253837029,0.0567596853
2604197,604197 (2015 MO66),False,2024-Jan-11 01:31,21.5899774047,48943736.192652474,Earth,0.2538370294,0.5675968529
54412457,(2023 WZ3),False,2024-Jan-11 23:30,3.9876889327,6193680.18532465,Earth,0.0313729225,0.0701519874
54413293,(2023 XV1),True,2024-Jan-11 17:59,14.7304671156,41651143.773667722,Earth,0.1434019235,0.320656449
54419605,(2024 AE2),False,2024-Jan-11 04:55,16.4531786212,14217867.030063131,Earth,0.0806408277,0.1803183724
54419607,(2024 AG2),False,2024-Jan-11 03:17,10.3400020621,9535581.724920277,Earth,0.0457672667,0.1023387195
54420281,(2024 AB4),False,2024-Jan-11 13:28,2.9569419414,5710132.880793683,Earth,0.0163890951,0.0366471308
54420442,(2024 AE4),False,2024-Jan-11 00:18,8.2256760803,1217143.260026574,Earth,0.0047924212,0.0107161795
54420444,(2024 AG4),False,2024-Jan-11 21:32,11.9675735724,340449.671419485,Earth,0.0054519891,0.0121910182
54420624,(2024 AM4),False,2024-Jan-11 09:50,3.1953885506,119476.219197204,Earth,0.004814542,0.0107656431
54421394,(2024 BL1),False,2024-Jan-11 21:34,15.0717383857,23947461.529476419,Earth,0.0537718498,0.1202375114
54421645,(2024 BR1),False,2024-Jan-11 14:56,14.7583174789,4276005.853979006,Earth,0.0149470324,0.0334225806
54427460,(2024 BZ15),False,2024-Jan-11 18:36,10.4290730005,1773086.329454287,Earth,0.0139493823,0.0311917671
54470416,(2024 RZ10),False,2024-Jan-11 05:05,14.3525465033,58107182.534659833,Earth,0.0249203981,0.0557237043
2752296,752296 (2015 OX78),False,2024-Jan-11 00:12,20.8344275067,47519518.304349792,Earth,0.2861244538,0.6397937287
2004034,4034 Vishnu (1986 PA),True,2024-Jan-10 13:57,16.4463585023,60404347.542352472,Earth,0.5327886649,1.1913516723
2354182,354182 (2002 DU3),True,2024-Jan-10 17:14,7.1549843525,60183258.765132208,Earth,0.1864468183,0.41690776
2438661,438661 (2008 EP6),True,2024-Jan-10 23:54,10.7126771692,23088209.212457529,Earth,0.3789264984,0.8473054089
3409964,(2008 JG),True,2024-Jan-10 01:09,7.7889870854,13409422.802189998,Earth,0.1805323255,0.4036825521
3448069,(2009 DT10),False,2024-Jan-10 17:21,11.9022731801,25388607.538753626,Earth,0.0718712133,0.1607089186
3659804,(2014 BA33),False,2024-Jan-10 07:00,19.707453356,74479707.237539354,Earth,0.1123453177,0.2512117673
3739155,(2016 AE2),False,2024-Jan-10 05:36,14.4660836505,33643285.775796333,Earth,0.0139493823,0.0311917671
3740044,(2016 AJ165),False,2024-Jan-10 15:58,25.2487847439,59178001.978789866,Earth,0.022108281,0.0494356193
3743125,(2016 CB138),False,2024-Jan-10 00:15,15.3528835398,48328254.292948786,Earth,0.049952241,0.1116966065
3797688,(2018 AE12),False,2024-Jan-10 14:17,31.9659323837,32226765.25141727,Earth,0.0896509666,0.2004656557
3797905,(2018 BM5),False,2024-Jan-10 18:55,7.9454005129,11259952.495355006,Earth,0.0087207729,0.019500241
3843174,(2019 NO3),False,2024-Jan-10 07:36,28.0033339753,25617121.217296878,Earth,0.3377185972,0.7551617405
54106537,(2021 BV1),False,2024-Jan-10 07:24,27.0121668903,29761104.901510065,Earth,0.0065849878,0.0147244804
54226110,(2021 XM),False,2024-Jan-10 05:38,12.2665322621,26152848.109285975,Earth,0.0096506147,0.0215794305
54244190,(2022 BA7),False,2024-Jan-10 23:43,7.7198214483,9330198.689518981,Earth,0.001788772,0.0039998157
54245585,(2022 CV2),False,2024-Jan-10 12:04,8.7899209008,17987088.961238106,Earth,0.0670741189,0.1499822895
54247545,(2016 FH60),False,2024-Jan-10 12:03,8.7900951365,17988048.646533943,Earth,0.06259721,0.1399716167
2613986,613986 (2008 JG),True,2024-Jan-10 01:09,7.7889862947,13409432.870126649,Earth,0.1830437804,0.4092983358
54416856,(2023 XY13),False,2024-Jan-10 09:09,40.722578531,54297628.075266277,Earth,0.3377185972,0.7551617405
54416962,(2023 XT14),False,2024-Jan-10 12:02,6.3731701403,4656579.259869913,Earth,0.0195233786,0.0436556017
54417533,(2023 XM16),False,2024-Jan-10 21:37,16.9147621743,10528582.690803082,Earth,0.0686364759,0.1534758258
54418267,(2023 YO1),False,2024-Jan-10 17:53,3.0732255537,2606923.868253126,Earth,0.0176422908,0.0394493615
54419482,(2024 AN1),False,2024-Jan-10 17:08,7.9418474461,1549060.257895721,Earth,0.012839703,0.0287104486
54419489,(2024 AU1),False,2024-Jan-10 14:07,18.1464670849,7020037.72590498,Earth,0.0385971268,0.0863057993
54419703,(2024 AY2),False,2024-Jan-10 22:52,8.3912795578,3199834.875165037,Earth,0.0107784169,0.0241012728
54420283,(2024 AC4),False,2024-Jan-10 00:50,8.9921006701,2430806.36496419,Earth,0.0093015425,0.0207988814
54420443,(2024 AF4),False,2024-Jan-10 04:38,6.3173099629,7105603.713281851,Earth,0.0169260249,0.0378477424
54420625,(2024 AO4),False,2024-Jan-10 22:08,9.2662751121,11700452.145125827,Earth,0.0504144434,0.1127301225
54420792,(2024 BA),False,2024-Jan-10 12:23,12.4956120821,1454678.183803797,Earth,0.0168482569,0.0376738478
54421083,(2024 BQ),False,2024-Jan-10 00:24,12.7198676508,2244879.056148939,Earth,0.0282198679,0.063101543
54421392,(2024 BJ1),False,2024-Jan-10 23:48,18.9129848357,37033526.57592932,Earth,0.0466181437,0.1042413384
54423685,(2024 CF),False,2024-Jan-10 00:53,5.0221619521,58687144.753858793,Earth,0.1661709017,0.3715694322
54423830,(2024 BT6),False,2024-Jan-10 02:58,27.0543803225,65356408.984536653,Earth,0.1550797087,0.3467687706
54435203,(2024 HM),False,2024-Jan-10 08:28,5.4601729647,39156054.844929644,Earth,0.040230458,0.0899580388
54435209,(2023 MJ20),False,2024-Jan-10 14:22,7.7333904813,46953019.639134453,Earth,0.0018559017,0.0041499224
54445203,(2024 KE1),False,2024-Jan-10 03:51,6.7659179898,57369673.457919914,Earth,0.0342416731,0.0765667087
3312035,(2006 AM8),False,2024-Jan-15 13:57,39.5920533483,64141071.460559701,Earth,0.3210369174,0.7178603705
3632236,(2013 EH89),False,2024-Jan-15 11:27,9.4885247624,15343813.244408803,Earth,0.2446554962,0.5470663205
3703319,(2015 AK1),False,2024-Jan-15 23:22,13.2243090416,6069534.507971988,Earth,0.037201031,0.0831840342
3757000,(2016 PQ8),False,2024-Jan-15 10:19,7.7018485032,56229944.687092633,Earth,0.1010543415,0.2259643771
3905993,(2019 XK1),False,2024-Jan-15 20:08,16.4733771646,68558756.116571748,Earth,0.0167708462,0.0375007522
54137806,(2021 GL16),False,2024-Jan-15 11:43,5.6562453509,28234939.849628494,Earth,0.0147419515,0.0329640056
54292689,(2022 OJ5),False,2024-Jan-15 16:39,5.9269680439,22652204.694444255,Earth,0.0045139316,0.010093458
54377191,(2023 QP),False,2024-Jan-15 17:08,12.0996710523,62756295.155401028,Earth,0.0547715431,0.1224728936
54382061,(2023 RE4),False,2024-Jan-15 19:43,5.2599057743,52066045.606918252,Earth,0.0114433973,0.0255882143
54416964,(2023 XW14),True,2024-Jan-15 17:39,25.8279937996,14754761.353910134,Earth,0.138852907,0.310484539
54418266,(2023 YP1),False,2024-Jan-15 18:26,19.3155096543,23656452.936826418,Earth,0.2272767323,0.5082062231
54419697,(2024 AT2),False,2024-Jan-15 10:50,8.7384350134,1434550.089591037,Earth,0.0090480497,0.0202320542
54419808,(2024 AD3),False,2024-Jan-15 06:24,10.3054964737,62450039.08408723,Earth,0.1732028271,0.3872932954
54419818,(2024 AN3),False,2024-Jan-15 02:40,9.4354524232,9565774.614228767,Earth,0.0259749653,0.0580817882
54427461,(2024 BA16),False,2024-Jan-15 08:11,8.9427738023,140009.708677877,Earth,0.0043306689,0.0096836699
2670011,670011 (2013 EH89),False,2024-Jan-15 11:27,9.488525687,15343807.679368039,Earth,0.2561857545,0.5728487619
54445919,(2024 LK1),False,2024-Jan-15 18:35,18.5569807144,58648738.043900083,Earth,0.0411675457,0.0920534307
3009717,(1997 AC11),False,2024-Jan-17 01:09,16.2394388797,38744735.995037615,Earth,0.1943367684,0.4345502246
3623683,(2013 AG53),False,2024-Jan-17 01:20,10.9796585383,47526576.511373836,Earth,0.0278326768,0.0622357573
