Company Name,Link to Company Wikipedia page,GICS Sector,GICS Sub-Industry,Headquarters Location,Industry,Revenue (Billions USD),Net Income (Billions USD),Number of Employees,Market Cap (Billions USD),CEO,Founder(s),Founded (Year)
Linde plc,https://en.wikipedia.org/wiki/Linde_plc,Materials,Industrial Gases,"Guildford, United Kingdom",Chemical industry,32.85,6.199,66323,,Sanjiv Lamba,Carl von Linde,1879
Live Nation Entertainment,https://en.wikipedia.org/wiki/Live_Nation_Entertainment,Communication Services,Movies & Entertainment,"Beverly Hills, California",Entertainment,22.7,0.734,14700,,Michael Rapino,,2010
LKQ Corporation,https://en.wikipedia.org/wiki/LKQ_Corporation,Consumer Discretionary,Distributors,"Chicago, Illinois",Auto parts,0.013866,,44000,,Justin Jude,Donald F. Flynn,1998
Lockheed Martin,https://en.wikipedia.org/wiki/Lockheed_Martin,Industrials,Aerospace & Defense,"Bethesda, Maryland","Aerospace, Defense",67.6,6.92,122000,,President & CEO),,1995
Loews Corporation,https://en.wikipedia.org/wiki/Loews_Corporation,Financials,Multi-line Insurance,"New York City, New York",,15.9,1.43,12280,,Andrew Tisch,,
Lowe's,https://en.wikipedia.org/wiki/Lowe%27s,Consumer Discretionary,Home Improvement Retail,"Mooresville, North Carolina",Retail (home improvement),86.38,7.726,284000,,& CEO)Brandon Sink,Lucius Smith Lowe,1921
Lululemon Athletica,https://en.wikipedia.org/wiki/Lululemon_Athletica,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Vancouver, Canada","Clothing, Retail",9.62,1.55,38000,,Calvin McDonald,Chip Wilson,1998
LyondellBasell,https://en.wikipedia.org/wiki/LyondellBasell,Materials,Specialty Chemicals,"Rotterdam, Netherlands",Chemicals,41.1,2.12,20000,,Peter Vanacker,,2007
M&T Bank,https://en.wikipedia.org/wiki/M%26T_Bank,Financials,Regional Banks,"Buffalo, New York","Banking, Financial services",9.4,2.47,17569,,René F. Jones,,1856
Marathon Petroleum,https://en.wikipedia.org/wiki/Marathon_Petroleum,Energy,Oil & Gas Refining & Marketing,"Findlay, Ohio",Petroleum,177.41,14.51,43800,,Michael J. Hennigan,,2009
MarketAxess,https://en.wikipedia.org/wiki/MarketAxess,Financials,Financial Exchanges & Data,"New York City, New York",Financial Services,0.753,0.258,881,,Rick McVey,Richard McVey,2000
Marriott International,https://en.wikipedia.org/wiki/Marriott_International,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Bethesda, Maryland",Hospitality,23.7,3.08,411000,,David Marriott,J. Willard MarriottAlice Marriott,1927
Marsh McLennan,https://en.wikipedia.org/wiki/Marsh_McLennan,Financials,Insurance Brokers,"New York City, New York","Insurance brokers, Professional services",22.74,3.756,85000,,H. Edward Hanway,,1905
Martin Marietta Materials,https://en.wikipedia.org/wiki/Martin_Marietta_Materials,Materials,Construction Materials,"Raleigh, North Carolina",Construction Materials,4.7,0.721,8714,,C. Nye,,1993
Masco,https://en.wikipedia.org/wiki/Masco,Industrials,Building Products,"Livonia, Michigan",,7.97,0.96,18000,,Richard Manoogian,Alex Manoogian,1929
Mastercard,https://en.wikipedia.org/wiki/Mastercard,Financials,Transaction & Payment Processing Services,"Harrison, New York",Financial services,25.1,11.19,33400,,Merit Janow,,1966
Match Group,https://en.wikipedia.org/wiki/Match_Group,Communication Services,Interactive Media & Services,"Dallas, Texas",Online dating,3.36,0.651,2600,,Thomas J. McInerney,,2009
McCormick & Company,https://en.wikipedia.org/wiki/McCormick_%26_Company,Consumer Staples,Packaged Foods & Meats,"Hunt Valley, Maryland",Processed & Packaged goods,6.317,0.755,14000,,President & CEO,Willoughby McCormick,1889
McDonald's,https://en.wikipedia.org/wiki/McDonald%27s,Consumer Discretionary,Restaurants,"Chicago, Illinois","Fast food restaurants, real estate",25.49,8.469,150000,,Enrique Hernandez Jr.,Richard & Maurice McDonald (original restaurant chain)Ray Kroc(McDonald's Corporation),1940
McKesson Corporation,https://en.wikipedia.org/wiki/McKesson_Corporation,Health Care,Health Care Distributors,"Irving, Texas",Healthcare,308.9,3.002,51000,,Brian S. Tyler,John McKessonCharles M. Olcott,1833
Medtronic,https://en.wikipedia.org/wiki/Medtronic,Health Care,Health Care Equipment,"Dublin, Ireland",Medical equipment,32.36,3.676,95000,,Geoff Martha,,1949
Merck & Co.,https://en.wikipedia.org/wiki/Merck_%26_Co.,Health Care,Pharmaceuticals,"Kenilworth, New Jersey",Pharmaceutical industry,60.12,0.365,72000,,president and CEO),Theodore WeickerGeorge Merck,1891
Meta Platforms,https://en.wikipedia.org/wiki/Meta_Platforms,Communication Services,Interactive Media & Services,"Menlo Park, California","Social media, Social network advertising, Consumer electronics, Virtual reality",134.9,39.1,70799,,Mark Zuckerberg,"Mark Zuckerberg, Eduardo Saverin, Andrew McCollum, Dustin Moskovitz, Chris Hughes",2004
MetLife,https://en.wikipedia.org/wiki/MetLife,Financials,Life & Health Insurance,"New York City, New York",Financial services,66.91,1.578,45000,,Michel A. Khalaf,,1868
Mettler Toledo,https://en.wikipedia.org/wiki/Mettler_Toledo,Health Care,Life Sciences Tools & Services,"Columbus, Ohio",Scientific instruments,3.788,0.789,17300,,Patrick Kaltenbach,"Erhard Mettler (Mettler Instruments AG), Henry Theobald (Toledo Scale Company)",1945
MGM Resorts,https://en.wikipedia.org/wiki/MGM_Resorts,Consumer Discretionary,Casinos & Gaming,"Paradise, Nevada",,12.899,,74500,,Bill Hornbuckle,Kirk Kerkorian,1986
Microchip Technology,https://en.wikipedia.org/wiki/Microchip_Technology,Information Technology,Semiconductors,"Chandler, Arizona",Semiconductors,7.634,1.907,22300,,CEO & chairman)Ganesh Moorthy,,1989
Micron Technology,https://en.wikipedia.org/wiki/Micron_Technology,Information Technology,Semiconductors,"Boise, Idaho",Semiconductors,25.11,0.778,48000,,Robert E. Switz,Ward ParkinsonJoe ParkinsonDennis WilsonDoug Pitman,1978
Microsoft,https://en.wikipedia.org/wiki/Microsoft,Information Technology,Systems Software,"Redmond, Washington",Information technology,245.1,88.1,228000,,Satya Nadella,Bill GatesPaul Allen,1975
Mid-America Apartment Communities,https://en.wikipedia.org/wiki/Mid-America_Apartment_Communities,Real Estate,Multi-Family Residential REITs,"Memphis, Tennessee",Real estate investment trust,1.677,0.254,2530,,CEO & PresidentAlbert M. Campbell,George E. Cates,1977
Moderna,https://en.wikipedia.org/wiki/Moderna,Health Care,Biotechnology,"Cambridge, Massachusetts",Biotechnology,6.848,4.71,5600,,Stéphane Bancel,Derrick RossiTimothy A. SpringerRobert S. LangerKenneth R. ChienNoubar Afeyan,2010
Mohawk Industries,https://en.wikipedia.org/wiki/Mohawk_Industries,Consumer Discretionary,Home Furnishings,"Calhoun, Georgia",Flooring Manufacturing,10.0,1.4,42100,,Jeffrey Lorberbaum,,1878
Molina Healthcare,https://en.wikipedia.org/wiki/Molina_Healthcare,Health Care,Managed Health Care,"Long Beach, California",Healthcare,34.1,1.09,18000,,Joseph M. Zubretsky,Dr. C. David Molina[1],1980
Molson Coors Beverage Company,https://en.wikipedia.org/wiki/Molson_Coors_Beverage_Company,Consumer Staples,Brewers,"Chicago, Illinois",Drink industry,13.8,0.956,17700,,,,1873
Mondelez International,https://en.wikipedia.org/wiki/Mondelez_International,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois","Food, Beverage",36.02,4.968,91000,,Dirk Van de Put,Thomas H. McInnerneyEdward E. Rieck,1923
Monolithic Power Systems,https://en.wikipedia.org/wiki/Monolithic_Power_Systems,Information Technology,Semiconductors,"Kirkland, Washington",Power semiconductor,1.82,0.427,3564,,Michael R. Hsing,Michael R. Hsing,1997
Monster Beverage,https://en.wikipedia.org/wiki/Monster_Beverage,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,"Corona, California",,7.14,1.63,5254,,Rodney Sacks,Hubert Hansen,1935
Moody's Corporation,https://en.wikipedia.org/wiki/Moody%27s_Corporation,Financials,Financial Exchanges & Data,"New York City, New York",Business and financial services,5.92,1.61,15151,,Rob Fauber,John Moody,1909
Morgan Stanley,https://en.wikipedia.org/wiki/Morgan_Stanley,Financials,Investment Banking & Brokerage,"New York City, New York",Financial services,54.1,9.1,80006,,James P. Gorman,"Henry Sturgis MorganHarold StanleyWilliam EwingPerry E. HallEdward H. YorkJohn M. YoungDean G. WitterRichard S. Reynolds, Jr.",1935
Mosaic Company (The),https://en.wikipedia.org/wiki/The_Mosaic_Company,Materials,Fertilizers & Agricultural Chemicals,"Tampa, Florida","Agriculture, Fertilizer",13.69,1.165,14049,,Gregory Ebel,,2004
Motorola Solutions,https://en.wikipedia.org/wiki/Motorola_Solutions,Information Technology,Communications Equipment,"Chicago, Illinois",Telecommunications equipment,9.98,1.71,20000,,Greg Brown,,1928
MSCI,https://en.wikipedia.org/wiki/MSCI,Financials,Financial Exchanges & Data,"New York City, New York",,2.53,1.15,5794,,Henry A. Fernandez,,1968
"Nasdaq, Inc.","https://en.wikipedia.org/wiki/Nasdaq,_Inc.",Financials,Financial Exchanges & Data,"New York City, New York",Financial services,6.06,1.06,8525,,Michael Splinter,,1971
NetApp,https://en.wikipedia.org/wiki/NetApp,Information Technology,"Technology Hardware, Storage & Peripherals","San Jose, California","Cloud computing, Storage device",6.27,0.986,11800,,George Kurian,David HitzJames LauMichael Malcolm,1992
Netflix,"https://en.wikipedia.org/wiki/Netflix,_Inc.",Communication Services,Movies & Entertainment,"Los Gatos, California","Media, Entertainment",33.7,5.41,13000,,Ted Sarandos,"Reed Hastings, Marc Randolph",1997
Newmont,https://en.wikipedia.org/wiki/Newmont,Materials,Gold,"Denver, Colorado",Metals and Mining,11.8,2.5,21700,,Thomas R. Palmer,William Boyce Thompson,1921
News Corp (Class A),https://en.wikipedia.org/wiki/News_Corp,Communication Services,Publishing,"New York City, New York",Media,10.1,0.266,23900,,Robert James Thomson,Rupert Murdoch,2013
News Corp (Class B),https://en.wikipedia.org/wiki/News_Corp,Communication Services,Publishing,"New York City, New York",Media,10.1,0.266,23900,,Robert James Thomson,Rupert Murdoch,2013
NextEra Energy,https://en.wikipedia.org/wiki/NextEra_Energy,Utilities,Multi-Utilities,"Juno Beach, Florida","Electric power industry, Energy development, Renewable energy",28.11,6.282,16800,,President and CEO of NEE)Armando Pimentel Jr.,,1984
"Nike, Inc.","https://en.wikipedia.org/wiki/Nike,_Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Washington County, Oregon","Apparel, Accessories, Sports equipment",51.36,5.7,79400,,Philip Knight,Bill BowermanPhil Knight,1964
