Company Name,Link to Company Wikipedia page,GICS Sector,GICS Sub-Industry,Headquarters Location,Industry,Revenue (Billions USD),Net Income (Billions USD),Number of Employees,Market Cap (Billions USD),CEO,Founder(s),Founded (Year)
3M,https://en.wikipedia.org/wiki/3M,Industrials,Industrial Conglomerates,"Saint Paul, Minnesota",Conglomerate,32.68,6.99,85000,,William M. Brown,J. Danley BuddHenry S. BryanWilliam A. McGonagleJohn DwanHermon W. CableCharles Simmons[2],1902
A. O. Smith,https://en.wikipedia.org/wiki/A._O._Smith,Industrials,Building Products,"Milwaukee, Wisconsin",Water technology,2.9,0.37,15100,,president & CEO),Charles Jeremiah Smith[1],1874
Abbott Laboratories,https://en.wikipedia.org/wiki/Abbott_Laboratories,Health Care,Health Care Equipment,"North Chicago, Illinois","Health care, Medical devices, Pharmaceutical",40.1,5.72,114000,,Robert B. Ford,Wallace Calvin Abbott,1888
AbbVie,https://en.wikipedia.org/wiki/AbbVie,Health Care,Biotechnology,"North Chicago, Illinois",Biopharmaceutical,54.32,4.873,50000,,Richard A. Gonzalez,,2012
Accenture,https://en.wikipedia.org/wiki/Accenture,Information Technology,IT Consulting & Other Services,"Dublin, Ireland","Professional services, Information technology consulting",64.9,7.42,774000,,Julie Sweet,,1989
Adobe Inc.,https://en.wikipedia.org/wiki/Adobe_Inc.,Information Technology,Application Software,"San Jose, California",Software,19.41,5.428,29945,,Shantanu Narayen,John WarnockCharles Geschke,1982
Advanced Micro Devices,https://en.wikipedia.org/wiki/AMD,Information Technology,Semiconductors,"Santa Clara, California",Semiconductors,22.68,0.854,26000,,Lisa Su,Team led by Dhaduk Gaurang 14,1969
AES Corporation,https://en.wikipedia.org/wiki/AES_Corporation,Utilities,Independent Power Producers & Energy Traders,"Arlington, Virginia",Energy,12.7,0.249,9600,,Jay Morse,Roger SantDennis Bakke,1981
Aflac,https://en.wikipedia.org/wiki/Aflac,Financials,Life & Health Insurance,"Columbus, Georgia","Insurance, Human resources services",18.7,4.659,12785,,CEO)Frederick J. Crawford,John AmosPaul AmosBill Amos,1955
Agilent Technologies,https://en.wikipedia.org/wiki/Agilent_Technologies,Health Care,Life Sciences Tools & Services,"Santa Clara, California",Healthcare equipment and services,6.83,1.24,18100,,Padraig McDonnell,,1999
Air Products,https://en.wikipedia.org/wiki/Air_Products,Materials,Industrial Gases,"Upper Macungie Township, Pennsylvania","Industrial gas, chemicals",12.1,3.86,23000,,Seifi Ghasemi,Leonard P. Pool,1940
Airbnb,https://en.wikipedia.org/wiki/Airbnb,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","San Francisco, California",Lodging,5.99,0.352,6907,,Brian Chesky,Brian CheskyJoe GebbiaNathan Blecharczyk,2008
Akamai Technologies,https://en.wikipedia.org/wiki/Akamai_Technologies,Information Technology,Internet Services & Infrastructure,"Cambridge, Massachusetts","Internet, Cloud computing",3.81,0.548,10250,,F. Thomson Leighton,Daniel LewinF. Thomson LeightonRandall KaplanPreetish NijhawanJonathan Seelig,1998
Albemarle Corporation,https://en.wikipedia.org/wiki/Albemarle_Corporation,Materials,Specialty Chemicals,"Charlotte, North Carolina",Chemical industry,9.62,1.57,9000,,Kent Masters,,1994
Alexandria Real Estate Equities,https://en.wikipedia.org/wiki/Alexandria_Real_Estate_Equities,Real Estate,Office REITs,"Pasadena, California",Real estate investment trust,2.588,0.513,593,,,Joel S. MarcusJerry M. Sudarsky,1994
Align Technology,https://en.wikipedia.org/wiki/Align_Technology,Health Care,Health Care Supplies,"Tempe, Arizona",Orthodontics devices,3.86,0.445,21610,,Joe Hogan,Zia ChishtiKelsey Wirth,1997
Allegion,https://en.wikipedia.org/wiki/Allegion,Industrials,Building Products,"Dublin, Ireland","Security, Access control",3.27,0.458,12000,,,,1908
Alliant Energy,https://en.wikipedia.org/wiki/Alliant_Energy,Utilities,Electric Utilities,"Madison, Wisconsin",Utilities,3.669,0.674,3375,,,,1917
Allstate,https://en.wikipedia.org/wiki/Allstate,Financials,Property & Casualty Insurance,"Northbrook, Illinois",Insurance,57.09,0.213,53000,,and CEO),,1931
Alphabet Inc. (Class A),https://en.wikipedia.org/wiki/Alphabet_Inc.,Communication Services,Interactive Media & Services,"Mountain View, California",Conglomerate,307.4,73.79,181269,,Sundar Pichai,Larry PageSergey Brin,1998
Alphabet Inc. (Class C),https://en.wikipedia.org/wiki/Alphabet_Inc.,Communication Services,Interactive Media & Services,"Mountain View, California",Conglomerate,307.4,73.79,181269,,Sundar Pichai,Larry PageSergey Brin,1998
Altria,https://en.wikipedia.org/wiki/Altria,Consumer Staples,Tobacco,"Richmond, Virginia",Tobacco,21.111,2.475,6000,,Billy Gifford,,1985
Amazon,https://en.wikipedia.org/wiki/Amazon_(company),Consumer Discretionary,Broadline Retail,"Seattle, Washington",Conglomerate,574.8,30.43,1525000,,Jeff Bezos,Jeff Bezos,1994
Amcor,https://en.wikipedia.org/wiki/Amcor,Materials,Paper & Plastic Packaging Products & Materials,"Warmley, Bristol, United Kingdom",Packaging,13.6,0.74,41000,,,,1896
Amentum,https://en.wikipedia.org/wiki/Amentum_(company),Industrials,Diversified Support Services,"Chantilly, Virginia","National security, defense, healthcare, engineering",9.0,,50000,,John Heller,,2020
Ameren,https://en.wikipedia.org/wiki/Ameren,Utilities,Multi-Utilities,"St. Louis, Missouri",Utilities,5.794,0.871,9116,,,,1997
American Electric Power,https://en.wikipedia.org/wiki/American_Electric_Power,Utilities,Electric Utilities,"Columbus, Ohio",Electric utilities,19.0,2.21,17250,,president & interim CEO),,1906
American Express,https://en.wikipedia.org/wiki/American_Express,Financials,Consumer Finance,"New York City, New York","Banking, Payment card services",60.52,8.374,74600,,Stephen J. Squeri,,1850
American International Group,https://en.wikipedia.org/wiki/American_International_Group,Financials,Multi-line Insurance,"New York City, New York",Financial services,46.8,3.614,25200,,Peter Zaffino,Cornelius Vander Starr,1919
American Tower,https://en.wikipedia.org/wiki/American_Tower,Real Estate,Telecom Tower REITs,"Boston, Massachusetts","Real estate investment trust, Communication services",11.14,1.483,5643,,Steven Vondran,,1995
American Water Works,https://en.wikipedia.org/wiki/American_Water_Works,Utilities,Water Utilities,"Camden, New Jersey","Utilities, Water and wastewater",3.93,1.26,6500,,CEO and Board MemberJohn C. Griffith,James S. KuhnW.S. Kuhn,1886
Ameriprise Financial,https://en.wikipedia.org/wiki/Ameriprise_Financial,Financials,Asset Management & Custody Banks,"Minneapolis, Minnesota",Financial services,13.44,2.76,12000,,James M. Cracchiolo,"John Tappan, J.R. Ridgway",1894
Ametek,https://en.wikipedia.org/wiki/Ametek,Industrials,Electrical Components & Equipment,"Berwyn, Pennsylvania",Conglomerate,6.6,1.31,21500,,David A. Zapico,,1930
Amgen,https://en.wikipedia.org/wiki/Amgen,Health Care,Biotechnology,"Thousand Oaks, California",Biotechnology,28.19,6.717,26700,,president & CEO),,1980
Amphenol,https://en.wikipedia.org/wiki/Amphenol,Information Technology,Electronic Components,"Wallingford, Connecticut",electronics,12.6,1.93,95000,,R. Adam Norwitt,Arthur J. Schmitt,1932
Analog Devices,https://en.wikipedia.org/wiki/Analog_Devices,Information Technology,Semiconductors,"Wilmington, Massachusetts",Semiconductors,9.43,1.64,24000,,Vincent Roche,Ray StataMatthew Lorber,1965
Ansys,https://en.wikipedia.org/wiki/Ansys,Information Technology,Application Software,"Canonsburg, Pennsylvania",Computer software,2.27,0.5,6200,,Ronald Hovsepian,,1970
Aon,https://en.wikipedia.org/wiki/Aon_(company),Financials,Insurance Brokers,"London, UK",Financial services,13.38,2.564,50000,,Lester Knight,Patrick Ryan,1982
APA Corporation,https://en.wikipedia.org/wiki/APA_Corporation,Energy,Oil & Gas Exploration & Production,"Houston, Texas",Petroleum industry,7.985,0.973,2253,,John J. Christmann IV,Truman AndersonCharles ArnaoRaymond Plank,1954
Apple Inc.,https://en.wikipedia.org/wiki/Apple_Inc.,Information Technology,"Technology Hardware, Storage & Peripherals","Cupertino, California","Consumer electronics, Software services, Online services",391.04,93.74,164000,,Arthur Levinson,Steve JobsSteve WozniakRonald Wayne,1976
Applied Materials,https://en.wikipedia.org/wiki/Applied_Materials,Information Technology,Semiconductor Materials & Equipment,"Santa Clara, California",Semiconductors,26.52,6.856,34000,,Gary E. Dickerson,Michael A. McNeilly,1967
Aptiv,https://en.wikipedia.org/wiki/Aptiv,Consumer Discretionary,Automotive Parts & Equipment,"Dublin, Ireland",Automotive,20.05,2.966,154000,,Kevin P. Clark,,1994
Arch Capital Group,https://en.wikipedia.org/wiki/Arch_Capital_Group,Financials,Property & Casualty Insurance,"Hamilton, Bermuda","Insurance, Finance",9.25,2.24,5800,,John M. Pasquesi,Robert ClementsPeter A. Appel,2000
Archer Daniels Midland,https://en.wikipedia.org/wiki/Archer_Daniels_Midland,Consumer Staples,Agricultural Products & Services,"Chicago, Illinois","Food processing, Commodities",93.9,3.48,41802,,Juan Luciano,George A. ArcherJohn W. Daniels,1902
Arista Networks,https://en.wikipedia.org/wiki/Arista_Networks,Information Technology,Communications Equipment,"Santa Clara, California",Networking hardware,5.86,2.09,4023,,Jayshree Ullal,Andy BechtolsheimKenneth DudaDavid Cheriton,2004
Arthur J. Gallagher & Co.,https://en.wikipedia.org/wiki/Arthur_J._Gallagher_%26_Co.,Financials,Insurance Brokers,"Rolling Meadows, Illinois","Brokerage, Insurance",10.07,0.97,52000,,& CEO); Douglas K. Howell,Arthur J. Gallagher,1927
Assurant,https://en.wikipedia.org/wiki/Assurant,Financials,Multi-line Insurance,"Atlanta, Georgia",Insurance,11.1,0.643,13600,,Keith W. Demmings,,1892
AT&T,https://en.wikipedia.org/wiki/AT%26T,Communication Services,Integrated Telecommunication Services,"Dallas, Texas",Telecommunications,122.4,15.62,149900,,William Kennard,,1885
Atmos Energy,https://en.wikipedia.org/wiki/Atmos_Energy,Utilities,Gas Utilities,"Dallas, Texas",Energy,2.82,0.6013999999999999,5019,,J. Kevin Akers,,1906
Autodesk,https://en.wikipedia.org/wiki/Autodesk,Information Technology,Application Software,"San Francisco, California",Softwaremedia & entertainmentmanufacturing & industrialbioscience,5.5,0.906,14100,,Crawford W. Beveridge,"John Walker, Dan Drake",1982
Automatic Data Processing,https://en.wikipedia.org/wiki/ADP_(company),Industrials,Human Resource & Employment Services,"Roseland, New Jersey","Business services, Software",19.2,3.75,64000,,Maria Black,Henry Taub,1949
AutoZone,https://en.wikipedia.org/wiki/AutoZone,Consumer Discretionary,Automotive Retail,"Memphis, Tennessee",Retail,17.48,2.528,119000,,& CEO)Jamere Jackson,Pitt Hyde,1979
AvalonBay Communities,https://en.wikipedia.org/wiki/AvalonBay_Communities,Real Estate,Multi-Family Residential REITs,"Arlington, Virginia",Real estate investment trust,2.301,0.827,3090,,Timothy J. Naughton,,1978
Avery Dennison,https://en.wikipedia.org/wiki/Avery_Dennison,Materials,Paper & Plastic Packaging Products & Materials,"Mentor, Ohio",Packaging,8.36,0.503,35000,,Deon Stander,R. Stanton Avery (Avery International Corporation)Andrew DennisonAaron Lufkin Dennison (Dennison Manufacturing Company),1935
Axon Enterprise,https://en.wikipedia.org/wiki/Axon_Enterprise,Industrials,Aerospace & Defense,"Scottsdale, Arizona",,1.56,0.174,3330,,Patrick W. Smith,Patrick W. SmithThomas P. Smith,1993
Baker Hughes,https://en.wikipedia.org/wiki/Baker_Hughes,Energy,Oil & Gas Equipment & Services,"Houston, Texas",Petroleum industry,25.51,1.97,58000,,Lorenzo Simonelli,,1908
Ball Corporation,https://en.wikipedia.org/wiki/Ball_Corporation,Materials,"Metal, Glass & Plastic Containers","Broomfield, Colorado",Packaging,14.0,0.711,21000,,Dan Fisher,,1880
Bank of America,https://en.wikipedia.org/wiki/Bank_of_America,Financials,Diversified Banks,"Charlotte, North Carolina",Financial services,98.6,26.5,213000,,Brian Moynihan,,1998
Baxter International,https://en.wikipedia.org/wiki/Baxter_International,Health Care,Health Care Equipment,"Deerfield, Illinois",Medical equipment,14.81,2.663,60000,,José E. Almeida,Donald Baxter,1931
Becton Dickinson,https://en.wikipedia.org/wiki/BD_(company),Health Care,Health Care Equipment,"Franklin Lakes, New Jersey","Medical equipment, Consulting",20.248,2.002,75000,,CEO and President),Maxwell BectonFairleigh S. Dickinson,1897
Berkshire Hathaway,https://en.wikipedia.org/wiki/Berkshire_Hathaway,Financials,Multi-Sector Holdings,"Omaha, Nebraska",Conglomerate,364.5,96.22,396500,,Warren Buffett,Oliver Chace,1839
Best Buy,https://en.wikipedia.org/wiki/Best_Buy,Consumer Discretionary,Computer & Electronics Retail,"Richfield, Minnesota",Retail,43.45,1.241,85000,,Patrick Doyle,Richard M. SchulzeJames Wheeler,1966
Bio-Techne,https://en.wikipedia.org/wiki/Bio-Techne,Health Care,Life Sciences Tools & Services,"Minneapolis, Minnesota",Biotechnology,1.16,0.168,3100,,Kim Kelderman,Roger C. Lucas,1976
Biogen,https://en.wikipedia.org/wiki/Biogen,Health Care,Biotechnology,"Cambridge, Massachusetts",Biotechnology,9.836,1.162,7570,,Caroline Dorsa,Kenneth MurrayPhillip Allen SharpWalter GilbertHeinz SchallerCharles Weissmann,1978
BlackRock,https://en.wikipedia.org/wiki/BlackRock,Financials,Asset Management & Custody Banks,"New York City, New York",Investments,17.86,5.502,19800,,Larry Fink,Robert S. KapitoLarry FinkSusan Wagner,1988
Blackstone Inc.,https://en.wikipedia.org/wiki/Blackstone_Inc.,Financials,Asset Management & Custody Banks,"New York City, New York",Financial services,8.02,2.44,4735,,Stephen Schwarzman,Peter PetersonStephen Schwarzman,1985
BNY Mellon,https://en.wikipedia.org/wiki/BNY_Mellon,Financials,Asset Management & Custody Banks,"New York City, New York","Banking, Financial services",17.5,3.051,53400,,Robin Vince,,2007
Boeing,https://en.wikipedia.org/wiki/Boeing,Industrials,Aerospace & Defense,"Arlington, Virginia",Aerospace,77.79,2.24,170688,,Kelly Ortberg,William E. Boeing,1916
Booking Holdings,https://en.wikipedia.org/wiki/Booking_Holdings,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Norwalk, Connecticut","Travel, Technology",21.37,4.289,23600,,Glenn D. Fogel,Jay S. Walker,1996
BorgWarner,https://en.wikipedia.org/wiki/BorgWarner,Consumer Discretionary,Automotive Parts & Equipment,"Auburn Hills, Michigan","Automotive industry, E-Mobility",14.2,0.695,39900,,Frédéric Lissalde,,1880
Boston Scientific,https://en.wikipedia.org/wiki/Boston_Scientific,Health Care,Health Care Equipment,"Marlborough, Massachusetts",Medical device,14.24,1.592,48000,,Michael F. Mahoney,John AbelePeter Nicholas,1979
Bristol Myers Squibb,https://en.wikipedia.org/wiki/Bristol_Myers_Squibb,Health Care,Pharmaceuticals,"New York City, New York",Pharmaceuticals,45.01,8.04,34100,,Giovanni Caforio,William McLaren BristolJohn Ripley MyersE. R. Squibb,1887
Broadcom,https://en.wikipedia.org/wiki/Broadcom,Information Technology,Semiconductors,"Palo Alto, California","Semiconductor, Computer software",35.82,14.08,40000,,Henry Samueli,,1961
Broadridge Financial Solutions,https://en.wikipedia.org/wiki/Broadridge_Financial_Solutions,Industrials,Data Processing & Outsourced Services,"Lake Success, New York",Financial technology,6.507,0.698,14000,,Tim Gokey,,2007
Brown & Brown,https://en.wikipedia.org/wiki/Brown_%26_Brown,Financials,Insurance Brokers,"Daytona Beach, Florida",Property & casualty insurance,3.051,0.5871000000000001,12023,,& CEO)R. Andrew Watts,,1939
Brown–Forman,https://en.wikipedia.org/wiki/Brown%E2%80%93Forman,Consumer Staples,Distillers & Vintners,"Louisville, Kentucky",Drink industry,5.32,0.903,5600,,Lawson E. Whiting,George Garvin Brown,1870
Builders FirstSource,https://en.wikipedia.org/wiki/Builders_FirstSource,Industrials,Building Products,"Irving, Texas",,,,,,Peter Jackson,,1998
Bunge Global,https://en.wikipedia.org/wiki/Bunge_Global,Consumer Staples,Agricultural Products & Services,"Chesterfield, Missouri",Food processing,67.23,,23000,,Kathleen Hyle,Johann P. G. Bunge,1818
"BXP, Inc.","https://en.wikipedia.org/wiki/BXP,_Inc.",Real Estate,Office REITs,"Boston, Massachusetts",Real estate,3.274,0.291,836,,Owen D. Thomas,Mortimer ZuckermanEdward H. Linde,1970
C.H. Robinson,https://en.wikipedia.org/wiki/C.H._Robinson,Industrials,Air Freight & Logistics,"Eden Prairie, Minnesota","Transportation, Logistics",17.6,0.325,15246,,Jodee Kozlak,Charles Henry Robinson,1905
Cadence Design Systems,https://en.wikipedia.org/wiki/Cadence_Design_Systems,Information Technology,Application Software,"San Jose, California",Software,4.09,1.04,11200,,CEO)Lip-Bu Tan,James SolomonRichard NewtonAlberto Sangiovanni-Vincentelli,1983
Caesars Entertainment,https://en.wikipedia.org/wiki/Caesars_Entertainment,Consumer Discretionary,Casinos & Gaming,"Reno, Nevada",Gaminghospitality,11.5,0.828,51000,,Gary Carano,,1996
Camden Property Trust,https://en.wikipedia.org/wiki/Camden_Property_Trust,Real Estate,Multi-Family Residential REITs,"Houston, Texas",Real estate investment trust,1.542,0.403,1640,,Richard J. Campo,Richard J. CampoD. Keith Oden,1981
Campbell Soup Company,https://en.wikipedia.org/wiki/Campbell_Soup_Company,Consumer Staples,Packaged Foods & Meats,"Camden, New Jersey",Food processing,8.691,1.628,19000,,Mark Clouse,Joseph A. Campbell,1869
Capital One,https://en.wikipedia.org/wiki/Capital_One,Financials,Consumer Finance,"Tysons Corner, Virginia",Financial services,36.787,4.582,52000,,President and CEO)Andrew Young,Richard FairbankNigel Morris,1994
Cardinal Health,https://en.wikipedia.org/wiki/Cardinal_Health,Health Care,Health Care Distributors,"Dublin, Ohio",Healthcare,227.0,0.852,48900,,Jason Hollar,Robert D. Walter,1971
CarMax,https://en.wikipedia.org/wiki/CarMax,Consumer Discretionary,Automotive Retail,"Richmond, Virginia",Used car retailer,18.95,2.37,27000,,Bill Nash,,1993
Carnival,https://en.wikipedia.org/wiki/Carnival_Corporation_%26_plc,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida","Hospitality, Tourism",21.593,0.074,90000,,Micky Arison,Ted Arison[3] (for the Carnival Cruise Line),1972
Carrier Global,https://en.wikipedia.org/wiki/Carrier_Global,Industrials,Building Products,"Palm Beach Gardens, Florida",Home appliances,22.1,1.35,53000,,Dave Gitlin,Willis Carrier,1915
Catalent,https://en.wikipedia.org/wiki/Catalent,Health Care,Pharmaceuticals,"Somerset, New Jersey",Pharmaceuticals,4.38,1.04,16900,,Alessandro Maselli,,2007
Caterpillar Inc.,https://en.wikipedia.org/wiki/Caterpillar_Inc.,Industrials,Construction Machinery & Heavy Transportation Equipment,"Irving, Texas","Heavy equipment, Engines, Financial services",67.06,10.34,113200,,Jim Umpleby,C.L. BestBenjamin Holt[1],1925
Cboe Global Markets,https://en.wikipedia.org/wiki/Cboe_Global_Markets,Financials,Financial Exchanges & Data,"Chicago, Illinois",Security & commodity exchanges,3.77,0.761,1647,,Fredric J Tomczyk,Chicago Board of Trade,1973
CBRE Group,https://en.wikipedia.org/wiki/CBRE_Group,Real Estate,Real Estate Services,"Dallas, Texas",Real estate,30.8,1.4,44000,,Bob Sulentic,,1906
CDW,https://en.wikipedia.org/wiki/CDW,Information Technology,Technology Distributors,"Vernon Hills, Illinois",B2B IT products and services,21.4,1.1,15100,,Christine Leahy,Michael Krasny,1984
Celanese,https://en.wikipedia.org/wiki/Celanese,Materials,Specialty Chemicals,"Irving, Texas",Chemicals and advanced materials,10.9,1.96,12410,,Lori J. Ryerkerk,Camille Dreyfus,1918
Cencora,https://en.wikipedia.org/wiki/Cencora,Health Care,Health Care Distributors,"Conshohocken, Pennsylvania",Pharmaceutical,294.0,1.51,46000,,Steven H. Collis,,2001
Centene Corporation,https://en.wikipedia.org/wiki/Centene_Corporation,Health Care,Managed Health Care,"St. Louis, Missouri","Managed healthcare, Insurance",154.0,2.7,67700,,Sarah London,"Elizabeth ""Betty"" Brinn",1984
CenterPoint Energy,https://en.wikipedia.org/wiki/CenterPoint_Energy,Utilities,Multi-Utilities,"Houston, Texas",Utilities,7.418,0.773,8827,,Jason P. Wells,,1882
CF Industries,https://en.wikipedia.org/wiki/CF_Industries,Materials,Fertilizers & Agricultural Chemicals,"Deerfield, Illinois",Chemicals,4.124,0.317,3016,,Tony Will,,1946
Charles River Laboratories,https://en.wikipedia.org/wiki/Charles_River_Laboratories,Health Care,Life Sciences Tools & Services,"Wilmington, Massachusetts","Pharmaceuticals, Biotechnology, Gene Therapy, Cell Therapy, Medical devices",4.13,0.474,21800,,James C. Foster,,1947
Charles Schwab Corporation,https://en.wikipedia.org/wiki/Charles_Schwab_Corporation,Financials,Investment Banking & Brokerage,"Westlake, Texas",Financial services,18.84,5.067,33000,,Charles R. Schwab,Charles R. Schwab,1971
Charter Communications,https://en.wikipedia.org/wiki/Charter_Communications,Communication Services,Cable & Satellite,"Stamford, Connecticut","Telecommunications, Mass media (Internet)",54.61,5.26,101100,,Tom Rutledge,Barry BabcockJerald KentHoward Wood,1993
Chevron Corporation,https://en.wikipedia.org/wiki/Chevron_Corporation,Energy,Integrated Oil & Gas,"San Ramon, California","Energy, Oil and gas",200.9,21.37,45600,,Mike Wirth,"Charles N. Felton, Lloyd Tevis",1879
Chipotle Mexican Grill,https://en.wikipedia.org/wiki/Chipotle_Mexican_Grill,Consumer Discretionary,Restaurants,"Newport Beach, California",Restaurants,9.87,1.23,116068,,CEO,Steve Ells,1993
Chubb Limited,https://en.wikipedia.org/wiki/Chubb_Limited,Financials,Property & Casualty Insurance,"Zurich, Switzerland",Insurance and reinsurance,49.74,9.028,40000,,Evan G. Greenberg,Thomas Caldecot Chubb,1985
Church & Dwight,https://en.wikipedia.org/wiki/Church_%26_Dwight,Consumer Staples,Household Products,"Ewing, New Jersey","Dental, Medical",5.4,,5100,,Matthew T. Farrell,"John Dwight, Austin Church",1847
Cigna,https://en.wikipedia.org/wiki/Cigna,Health Care,Health Care Services,"Bloomfield, Connecticut","Managed healthcare, Insurance",195.3,5.372,72500,,David Cordani,,1982
Cincinnati Financial,https://en.wikipedia.org/wiki/Cincinnati_Financial,Financials,Property & Casualty Insurance,"Fairfield, Ohio",Insurance,7.536,1.216,5426,,Stephen M. Spray,John J. Schiff Sr.Robert C. Schiff Sr.,1950
Cintas,https://en.wikipedia.org/wiki/Cintas,Industrials,Diversified Support Services,"Mason, Ohio",Service,9.59,1.57,46500,,Todd Schneider,Richard (Doc) Farmer,1929
Cisco,https://en.wikipedia.org/wiki/Cisco,Information Technology,Communications Equipment,"San Jose, California","Networking hardware, Networking software",53.8,10.32,90400,,Chuck Robbins,Leonard BosackSandy Lerner,1984
Citigroup,https://en.wikipedia.org/wiki/Citigroup,Financials,Diversified Banks,"New York City, New York",Financial services,78.46,9.228,239000,,John C. Dugan,,1998
Citizens Financial Group,https://en.wikipedia.org/wiki/Citizens_Financial_Group,Financials,Regional Banks,"Providence, Rhode Island",Banking,8.224,1.965,17570,,Bruce Van Saun,,1828
Clorox,https://en.wikipedia.org/wiki/Clorox,Consumer Staples,Household Products,"Oakland, California",Consumer household goodsfoodpet carecommercial cleaning,7.09,0.28,8000,,Linda Rendle,Archibald TaftEdward HughesCharles HusbandRufus MyersWilliam Hussey,1913
CME Group,https://en.wikipedia.org/wiki/CME_Group,Financials,Financial Exchanges & Data,"Chicago, Illinois",Financial Services,5.589,3.226,3565,,Terrence A. Duffy,,1848
CMS Energy,https://en.wikipedia.org/wiki/CMS_Energy,Utilities,Multi-Utilities,"Jackson, Michigan",Energy,7.46,0.887,8356,,Garrick Rochow,,1886
Coca-Cola Company (The),https://en.wikipedia.org/wiki/The_Coca-Cola_Company,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,"Atlanta, Georgia",Beverage,45.8,10.7,79100,,James Quincey,Asa Griggs Candler,1892
Cognizant,https://en.wikipedia.org/wiki/Cognizant,Information Technology,IT Consulting & Other Services,"Teaneck, New Jersey","Information technology consulting, Outsourcing",19.42,2.29,336300,,Ravi Kumar Singisetti,Kumar MahadevaFrancisco D'SouzaSrini Raju[2][3],1994
Colgate-Palmolive,https://en.wikipedia.org/wiki/Colgate-Palmolive,Consumer Staples,Household Products,"New York City, New York",Consumer goods,19.5,2.3,34000,,President & CEO)Stanley J. Sutula III,"William Colgate (Colgate)Burdett J. Johnson (Palmolive)William J. Peet, Robert Peet (Peet Brothers)",1806
Comcast,https://en.wikipedia.org/wiki/Comcast,Communication Services,Cable & Satellite,"Philadelphia, Pennsylvania","Telecommunications, Media, Entertainment",121.6,15.11,186000,,Brian L. Roberts,Ralph J. Roberts,1963
Conagra Brands,https://en.wikipedia.org/wiki/Conagra_Brands,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois",Food processing,12.1,0.347,18500,,Sean Connolly,Alva Kinney,1919
ConocoPhillips,https://en.wikipedia.org/wiki/ConocoPhillips,Energy,Oil & Gas Exploration & Production,"Houston, Texas",Oil and gas,58.57,10.96,9900,,Ryan Lance,Frank Phillips,1875
Consolidated Edison,https://en.wikipedia.org/wiki/Consolidated_Edison,Utilities,Multi-Utilities,"New York City, New York",Energy,14.66,2.516,14592,,Tim Cawley,,1823
Constellation Brands,https://en.wikipedia.org/wiki/Constellation_Brands,Consumer Staples,Distillers & Vintners,"Rochester, New York",Beverages,9.355,2.031,9300,,Rob Sands,Marvin Sands,1945
Constellation Energy,https://en.wikipedia.org/wiki/Constellation_Energy,Utilities,Electric Utilities,"Baltimore, Maryland",Energy,24.92,1.577,13871,,Joseph Dominguez,,1999
Cooper Companies (The),https://en.wikipedia.org/wiki/The_Cooper_Companies,Health Care,Health Care Supplies,"San Ramon, California",Medical Devices,,,15000,,Albert G. White III,,1958
Copart,https://en.wikipedia.org/wiki/Copart,Industrials,Diversified Support Services,"Dallas, Texas",Automotive,4.24,1.36,11700,,Jeff Liaw,Willis J. Johnson,1982
Corning Inc.,https://en.wikipedia.org/wiki/Corning_Inc.,Information Technology,Electronic Components,"Corning, New York","Technology, Glass & Ceramic Materials",14.19,1.32,57500,,Wendell P. Weeks,Amory Houghton,1851
Corpay,https://en.wikipedia.org/wiki/Corpay,Financials,Transaction & Payment Processing Services,"Atlanta, Georgia",Financial data services,3.76,0.982,10500,,Ronald F. Clarke,,2000
Corteva,https://en.wikipedia.org/wiki/Corteva,Materials,Fertilizers & Agricultural Chemicals,"Indianapolis, Indiana",Agricultural chemicals,17.226,0.735,22500,,Chuck Magro,,2019
CoStar Group,https://en.wikipedia.org/wiki/CoStar_Group,Real Estate,Real Estate Services,"Washington, D.C.",Commercial property,2.46,0.369,6152,,Andrew C. Florance,Andrew Florance,1987
Costco,https://en.wikipedia.org/wiki/Costco,Consumer Staples,Consumer Staples Merchandise Retail,"Issaquah, Washington",Retail,254.5,7.367,333000,,Hamilton E. James,James SinegalJeffrey Brotman,1983
Coterra,https://en.wikipedia.org/wiki/Coterra,Energy,Oil & Gas Exploration & Production,"Houston, Texas",Petroleum industry,3.449,1.158,936,,Thomas E. Jorden,,1989
CrowdStrike,https://en.wikipedia.org/wiki/CrowdStrike,Information Technology,Systems Software,"Austin, Texas",Information security,3.06,0.08929999999999999,7925,,George Kurtz,George KurtzDmitri AlperovitchGregg Marston,2011
Crown Castle,https://en.wikipedia.org/wiki/Crown_Castle,Real Estate,Telecom Tower REITs,"Houston, Texas",Telecommunications,5.84,0.942,4500,,,,1994
CSX Corporation,https://en.wikipedia.org/wiki/CSX_Corporation,Industrials,Rail Transportation,"Jacksonville, Florida","Transport, real estate, technology",14.66,3.715,23000,,John J. Zillmer,,1980
Cummins,https://en.wikipedia.org/wiki/Cummins,Industrials,Construction Machinery & Heavy Transportation Equipment,"Columbus, Indiana","Heavy equipment, automotive",34.07,0.735,75500,,Jennifer Rumsey,Clessie Lyle CumminsWilliam Glanton Irwin,1919
